mechanismKey,mechanism,baseScenarioKey,variantScenarioKey,caseKey,caseName,caseWeight,deltaDirectional,deltaLegalStability,deltaPrecedentStability,deltaStatutoryStability,deltaInterbranchCompliance,deltaRightsProtection,deltaPartisanAlignment,deltaShadowDocketAbuse,deltaLegitimacy,deltaReversalRate,deltaConstitutionalConflict,deltaDemocraticResponsiveness,deltaAdministrativeCost,deltaLowerCourtCompliance,deltaLowerCourtResistanceRisk,deltaEnforcementCapacity,deltaGovernmentNoncomplianceRate,deltaEmergencyOpportunism,deltaEmergencyDownstreamEffect,deltaPrecedentDurability,deltaJusticeReplacementRate,deltaOverrideAttemptRate,deltaOverrideRate
panel-jurisdiction-safeguards,Panel and jurisdiction safeguards,term-limited-balanced,panel-jurisdiction-safeguards,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.008,0.002,0.012,-0.004,-0.003,-0.006,0.009,-0.004,0.043,-0.003,0.005,-0.002,0.066,0.001,0.000,0.028,0.006,-0.015,0.011,0.013,0.048,0.078,0.000
panel-jurisdiction-safeguards,Panel and jurisdiction safeguards,term-limited-balanced,panel-jurisdiction-safeguards,emergency-application-flood,Emergency Application Flood,1.000,-0.006,0.020,0.065,0.006,-0.007,-0.011,0.009,-0.006,0.041,-0.039,0.013,-0.006,0.077,-0.003,0.002,0.026,0.000,-0.012,0.039,0.060,0.044,0.134,0.000
panel-jurisdiction-safeguards,Panel and jurisdiction safeguards,term-limited-balanced,panel-jurisdiction-safeguards,override-evasion-loop,Override Evasion Loop,1.000,-0.006,0.018,0.059,0.007,-0.012,-0.012,-0.001,-0.008,0.037,-0.026,0.011,0.001,0.068,-0.001,0.003,0.027,0.014,-0.014,0.020,0.056,0.031,0.248,0.000
council-concrete-hybrid,Council with concrete-review backstop,nonpartisan-commission,council-concrete-hybrid,baseline,Baseline,1.000,-0.005,0.014,0.022,0.006,0.017,0.001,-0.003,-0.003,0.063,-0.011,0.005,0.012,0.084,0.012,-0.004,0.042,-0.011,-0.000,-0.002,0.021,0.040,0.069,0.015
council-concrete-hybrid,Council with concrete-review backstop,nonpartisan-commission,council-concrete-hybrid,extreme-appointment-capture,Extreme Appointment Capture,1.000,-0.008,0.007,0.011,0.002,0.011,0.003,-0.007,0.000,0.061,-0.002,0.012,0.018,0.087,0.005,-0.002,0.042,0.005,0.001,0.000,0.011,0.037,0.073,0.015
council-concrete-hybrid,Council with concrete-review backstop,nonpartisan-commission,council-concrete-hybrid,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.006,0.021,0.036,0.008,0.019,0.003,-0.016,-0.000,0.081,-0.030,0.011,0.024,0.111,0.008,-0.002,0.049,0.003,0.001,-0.002,0.034,0.027,0.138,0.042
council-concrete-hybrid,Council with concrete-review backstop,nonpartisan-commission,council-concrete-hybrid,extreme-rights-risk,Extreme Rights Risk,1.000,-0.015,0.001,0.009,-0.004,-0.000,0.005,-0.003,-0.004,0.078,-0.008,0.039,0.038,0.107,0.000,0.000,0.049,0.025,-0.000,-0.003,0.008,0.027,0.295,0.101
council-concrete-hybrid,Council with concrete-review backstop,nonpartisan-commission,council-concrete-hybrid,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.010,0.010,0.021,0.005,0.006,0.005,-0.008,-0.001,0.073,-0.015,0.026,0.022,0.099,0.003,0.000,0.047,0.022,-0.000,-0.000,0.019,0.040,0.203,0.078
council-concrete-hybrid,Council with concrete-review backstop,nonpartisan-commission,council-concrete-hybrid,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.009,0.009,0.015,0.004,0.010,-0.004,0.001,-0.001,0.054,-0.002,0.009,0.012,0.081,0.003,-0.000,0.040,0.015,0.001,0.000,0.015,0.034,0.067,0.018
council-concrete-hybrid,Council with concrete-review backstop,nonpartisan-commission,council-concrete-hybrid,emergency-application-flood,Emergency Application Flood,1.000,-0.001,0.029,0.057,0.009,0.022,0.003,-0.008,-0.007,0.084,-0.041,0.005,0.023,0.111,0.011,-0.002,0.049,0.007,-0.002,-0.009,0.056,0.033,0.161,0.056
council-concrete-hybrid,Council with concrete-review backstop,nonpartisan-commission,council-concrete-hybrid,override-evasion-loop,Override Evasion Loop,1.000,-0.010,0.014,0.032,0.005,0.005,0.008,-0.010,0.002,0.071,-0.022,0.025,0.038,0.107,0.002,0.001,0.047,0.028,0.000,0.001,0.028,0.039,0.249,0.093
accountability-election,Accountability election,nonpartisan-commission,accountability-retention-court,baseline,Baseline,1.000,-0.000,0.005,0.013,0.005,-0.004,-0.005,0.001,0.000,-0.003,-0.004,0.010,0.007,-0.000,-0.000,-0.000,0.001,-0.002,0.002,-0.002,0.008,0.030,0.078,0.037
accountability-election,Accountability election,nonpartisan-commission,accountability-retention-court,extreme-appointment-capture,Extreme Appointment Capture,1.000,-0.001,0.001,0.008,0.003,-0.007,-0.003,-0.002,-0.002,0.002,-0.005,0.013,0.009,0.001,-0.001,0.000,0.001,0.007,-0.000,0.000,0.003,0.038,0.082,0.035
accountability-election,Accountability election,nonpartisan-commission,accountability-retention-court,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.004,-0.000,0.005,0.006,-0.011,-0.011,-0.004,-0.003,0.001,-0.007,0.014,0.014,-0.001,-0.002,0.002,0.001,0.018,0.001,-0.003,-0.002,0.065,0.148,0.085
accountability-election,Accountability election,nonpartisan-commission,accountability-retention-court,extreme-rights-risk,Extreme Rights Risk,1.000,-0.007,-0.007,-0.006,0.003,-0.017,-0.021,0.002,-0.003,0.002,0.009,0.034,0.030,0.001,-0.001,-0.001,0.001,-0.009,-0.000,-0.002,-0.011,0.078,0.288,0.166
accountability-election,Accountability election,nonpartisan-commission,accountability-retention-court,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.006,-0.005,-0.001,0.004,-0.016,-0.007,0.001,0.005,0.001,-0.002,0.027,0.017,0.004,-0.003,0.001,0.001,0.011,0.000,0.003,-0.007,0.056,0.201,0.109
accountability-election,Accountability election,nonpartisan-commission,accountability-retention-court,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.001,0.004,0.008,0.005,-0.003,-0.009,-0.000,-0.002,-0.010,-0.004,0.005,0.002,-0.004,0.001,0.001,-0.000,0.001,0.001,-0.002,0.003,0.026,0.075,0.037
accountability-election,Accountability election,nonpartisan-commission,accountability-retention-court,emergency-application-flood,Emergency Application Flood,1.000,0.004,0.016,0.039,0.012,-0.004,-0.008,0.005,0.001,-0.006,-0.027,0.007,0.010,-0.000,0.004,-0.001,0.000,-0.010,0.000,-0.002,0.030,0.066,0.157,0.092
accountability-election,Accountability election,nonpartisan-commission,accountability-retention-court,override-evasion-loop,Override Evasion Loop,1.000,0.001,0.011,0.027,0.013,-0.007,-0.023,-0.004,-0.003,-0.003,-0.018,0.016,0.030,-0.002,0.004,-0.001,0.001,-0.009,-0.002,-0.005,0.020,0.060,0.258,0.167
court-expansion,Court expansion,term-limited-balanced,expanded-court-fifteen,baseline,Baseline,1.000,-0.004,0.001,0.005,-0.000,0.001,0.005,-0.011,0.002,0.018,-0.002,0.006,0.006,0.040,0.002,-0.003,0.001,-0.015,0.001,0.003,-0.004,0.014,0.000,0.000
court-expansion,Court expansion,term-limited-balanced,expanded-court-fifteen,extreme-appointment-capture,Extreme Appointment Capture,1.000,-0.007,-0.003,-0.008,-0.001,-0.000,-0.002,-0.011,-0.002,0.006,0.002,-0.001,-0.000,0.032,-0.001,0.000,-0.000,0.001,0.001,-0.001,-0.015,0.002,0.000,0.000
court-expansion,Court expansion,term-limited-balanced,expanded-court-fifteen,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.008,-0.004,-0.010,0.001,-0.003,0.005,-0.020,0.001,0.011,-0.003,0.001,0.002,0.037,-0.003,0.002,-0.000,0.012,0.001,-0.002,-0.018,0.006,0.000,0.000
court-expansion,Court expansion,term-limited-balanced,expanded-court-fifteen,extreme-rights-risk,Extreme Rights Risk,1.000,-0.008,-0.009,-0.019,-0.006,-0.001,0.005,-0.028,0.001,0.019,0.009,0.005,0.004,0.039,-0.000,-0.001,0.001,-0.001,0.002,0.001,-0.025,0.003,0.000,0.000
court-expansion,Court expansion,term-limited-balanced,expanded-court-fifteen,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.009,-0.006,-0.010,-0.003,-0.004,0.002,-0.017,0.000,0.009,0.008,0.004,0.003,0.035,-0.004,0.002,-0.000,0.014,0.000,0.002,-0.017,-0.002,0.000,0.000
court-expansion,Court expansion,term-limited-balanced,expanded-court-fifteen,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.005,0.002,0.002,0.000,0.003,-0.001,-0.020,0.002,0.008,-0.001,-0.003,-0.003,0.033,0.002,-0.001,-0.000,-0.007,-0.000,0.001,-0.006,-0.000,0.000,0.000
court-expansion,Court expansion,term-limited-balanced,expanded-court-fifteen,emergency-application-flood,Emergency Application Flood,1.000,-0.009,-0.004,-0.005,-0.002,-0.003,-0.001,-0.044,0.004,0.024,0.006,0.006,0.005,0.041,-0.002,-0.000,0.000,-0.001,0.001,0.005,-0.015,-0.006,0.000,0.000
court-expansion,Court expansion,term-limited-balanced,expanded-court-fifteen,override-evasion-loop,Override Evasion Loop,1.000,-0.004,0.005,0.011,0.003,0.002,-0.002,-0.021,-0.000,0.013,-0.011,-0.002,-0.001,0.036,0.002,-0.000,-0.000,-0.005,-0.001,-0.001,0.001,0.007,0.000,0.000
